Timestamp,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle,,Data from log.data file (Request Time / Requested Resource)
20:49:31,all,6.76,0,22.7,20.36,0,0,0,0,0,50.17,,Timestamp: Tue Nov 25 20:50:23 2014 Data: rhyrnpojpylenfccxhfkpdcizraurdyvcoxmrbpqhovjphuhnbefwovbfvuqkynpzfhablrrdmzmzkygxqiykakgdwpccocyiwxc 
20:49:32,all,8.78,0,22.98,18.16,0,0.09,0,0,0,50,,Timestamp: Tue Nov 25 20:50:26 2014 Data: txzsqutphejkpxpgvynduqdgarvvvurgnlnlknscktvvpchkkghegfyjnctfnynzxltzvbxggmzwfdqmngymgcvqegsekuhpairq 
20:49:33,all,7.39,0,23.65,24.94,0,0,0,0,0,44.02,,Timestamp: Tue Nov 25 20:50:29 2014 Data: qoezvirugrqvhcdmpmbyergeahxseoctsqbuyyopajgzhgfntakcsfzgtowcszbeefibfcyiscqemqqzalgkbozxlrqteekswnca 
20:49:34,all,9.31,0,21.9,21.38,0,0.09,0,0,0,47.33,,Timestamp: Tue Nov 25 20:50:32 2014 Data: hzagzkjxjanjyrosweresxyewibaeagbmrffmnxnqfqilqelgccudvnqsqluvecsdswwrvcutlyxdcyjmiswkmwcurbxmxxcuobf 
20:49:35,all,8.59,0,22.22,29.34,0,0.17,0,0,0,39.67,,Timestamp: Tue Nov 25 20:50:34 2014 Data: szzysmqufefjheyimkdmikbdrxohxkticvkjsfsecpbqtitnmubciwlqiflbpjghsfdohnxktxvcuxmsvrpxjbojehfbpvczyowm 
20:49:36,all,7.6,0,21.5,18.48,0,0.09,0,0,0,52.33,,Timestamp: Tue Nov 25 20:50:37 2014 Data: qqczehjciedxvixpibunxdklnsqedarpnbtuihaeqktsulmtqibwvzpyciikjftdsmbninjrfieskkruihdgofcmxcwyvagmjvtx 
20:49:37,all,10.85,0,22.63,12.04,0,0,0,0,0,54.48,,Timestamp: Tue Nov 25 20:50:40 2014 Data: mviyemdzahobrjlvngmmewbkwyqxilzavxqavhpfgbrrgyxbcgfiuiigjqvghndrhamerhnscwifphodkgvzueporvfonjjfzflg 
20:49:38,all,8.81,0,22.24,7.27,0,0,0,0,0,61.68,,Timestamp: Tue Nov 25 20:50:43 2014 Data: oucbanchrbczdkgajqfzxkjvrdfxwzemfbvadyylkmyabnrljxklvqqikbftovxukoqkrgkghtwvjjgxafliylrsiujmetznswjn 
20:49:39,all,7.2,0,22.96,1.03,0,0,0,0,0,68.81,,Timestamp: Tue Nov 25 20:50:45 2014 Data: onlobptjuzwlshitfugnxlrnkxrbxpptavtgxlsbzcktzrxcxxwifilljtqdtnzvjpmgsamisihigekczdxwobiguiqblzcusrfg 
20:49:40,all,9.38,0,22.21,0,0,0,0,0,0,68.41,,Timestamp: Tue Nov 25 20:50:48 2014 Data: chlwdorwxknwqpanucwejvwuyeqejpuzkwtpnmpdogfavwmdjaayxszxhvzxagavhtssvvdzfdpjpycddpdmgvwzkymydqgpuyxn 
